DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Bahrain,1,Race,True,,,,24.64425,,
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Bahrain,1,Race,True,,,,24.64425,,
14,ALO,Aston Martin,5.0,3.0,Finished,2023,Bahrain,1,Race,True,,,,25.1715,,
55,SAI,Ferrari,4.0,4.0,Finished,2023,Bahrain,1,Race,True,,,,24.4255,,
44,HAM,Mercedes,7.0,5.0,Finished,2023,Bahrain,1,Race,True,,,,25.175,,
18,STR,Aston Martin,8.0,6.0,Finished,2023,Bahrain,1,Race,True,,,,25.1715,,
63,RUS,Mercedes,6.0,7.0,Finished,2023,Bahrain,1,Race,True,,,,25.175,,
77,BOT,Alfa Romeo,12.0,8.0,Finished,2023,Bahrain,1,Race,True,,,,26.4464,,
10,GAS,Alpine,20.0,9.0,Finished,2023,Bahrain,1,Race,True,,,,31.090666666666667,,
23,ALB,Williams,15.0,10.0,Finished,2023,Bahrain,1,Race,True,,,,25.11916666666667,,
22,TSU,AlphaTauri,14.0,11.0,Finished,2023,Bahrain,1,Race,True,,,,25.1182,,
2,SAR,Williams,16.0,12.0,Lapped,2023,Bahrain,1,Race,True,,,,25.11916666666667,,
20,MAG,Haas F1 Team,17.0,13.0,Lapped,2023,Bahrain,1,Race,True,,,,27.811666666666667,,
21,DEV,AlphaTauri,19.0,14.0,Lapped,2023,Bahrain,1,Race,True,,,,25.1182,,
27,HUL,Haas F1 Team,10.0,15.0,Lapped,2023,Bahrain,1,Race,True,,,,27.811666666666667,,
24,ZHO,Alfa Romeo,13.0,16.0,Lapped,2023,Bahrain,1,Race,True,,,,26.4464,,
4,NOR,McLaren,11.0,17.0,Lapped,2023,Bahrain,1,Race,True,,,,32.60616666666667,,
31,OCO,Alpine,9.0,18.0,Retired,2023,Bahrain,1,Race,False,,,,31.090666666666667,,
16,LEC,Ferrari,3.0,19.0,Retired,2023,Bahrain,1,Race,False,,,,24.4255,,
81,PIA,McLaren,18.0,20.0,Retired,2023,Bahrain,1,Race,False,,,,32.60616666666667,,
11,PER,Red Bull Racing,1.0,1.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.765,,
1,VER,Red Bull Racing,15.0,2.0,Finished,2023,Saudi Arabian,2,Race,True,1.3333333333333333,,,20.765,,
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Saudi Arabian,2,Race,True,,,,24.0075,,
63,RUS,Mercedes,3.0,4.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.945,,
44,HAM,Mercedes,7.0,5.0,Finished,2023,Saudi Arabian,2,Race,True,5.333333333333333,,,20.945,,
55,SAI,Ferrari,4.0,6.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.062,,
16,LEC,Ferrari,12.0,7.0,Finished,2023,Saudi Arabian,2,Race,True,9.666666666666666,,,20.062,,
31,OCO,Alpine,6.0,8.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.75,,
10,GAS,Alpine,9.0,9.0,Finished,2023,Saudi Arabian,2,Race,True,11.666666666666666,,,20.75,,
20,MAG,Haas F1 Team,13.0,10.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.2185,,
22,TSU,AlphaTauri,16.0,11.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.2575,,
27,HUL,Haas F1 Team,10.0,12.0,Finished,2023,Saudi Arabian,2,Race,True,12.666666666666666,,,21.2185,,
24,ZHO,Alfa Romeo,11.0,13.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.6714,,
21,DEV,AlphaTauri,18.0,14.0,Finished,2023,Saudi Arabian,2,Race,True,12.0,,,21.2575,,
81,PIA,McLaren,8.0,15.0,Finished,2023,Saudi Arabian,2,Race,True,,,,27.384666666666664,,
2,SAR,Williams,20.0,16.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.219,,
4,NOR,McLaren,19.0,17.0,Finished,2023,Saudi Arabian,2,Race,True,17.333333333333332,,,27.384666666666664,,
77,BOT,Alfa Romeo,14.0,18.0,Lapped,2023,Saudi Arabian,2,Race,True,12.333333333333334,,,21.6714,,
23,ALB,Williams,17.0,19.0,Retired,2023,Saudi Arabian,2,Race,False,12.666666666666666,,,21.219,,
18,STR,Aston Martin,5.0,20.0,Retired,2023,Saudi Arabian,2,Race,False,4.0,,,24.0075,,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Australian,3,Race,True,1.6666666666666667,,,919.0382500000001,,
