Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
VER,2023,6,1.333,1.4,0.0,82.814,93.127,94.138,24.484,419.957,261.069,1.667,2.2,0.0,26.73,320.65,201.47,Monaco,1.0,0.0,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,1.0
ALO,2023,6,3.333,3.2,0.0,82.437,93.59,94.59,150.81,420.442,262.699,7.333,6.0,0.0,87.72,420.52,262.15,Monaco,2.0,0.084,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,2.0
OCO,2023,6,12.667,12.8,0.4,83.467,94.433,95.535,25.312,218.091,142.412,10.667,12.0,0.2,26.12,256.81,164.45,Monaco,3.0,0.188,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,3.0
HAM,2023,6,4.667,4.8,0.0,83.481,94.11,95.064,25.554,420.414,261.393,6.0,8.4,0.2,27.33,321.39,202.06,Monaco,5.0,0.36,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,4.0
RUS,2023,6,10.0,8.2,0.2,83.46,94.707,95.365,30.875,172.704,112.925,4.667,5.6,0.0,27.33,321.39,202.06,Monaco,8.0,0.599,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,5.0
GAS,2023,6,11.667,10.6,0.2,83.312,94.155,95.196,26.922,314.76,198.035,6.667,9.8,0.0,26.12,256.81,164.45,Monaco,7.0,0.568,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,7.0
NOR,2023,6,10.667,13.2,0.0,83.425,94.439,95.509,29.022,423.68,265.806,15.667,12.8,0.0,27.97,365.31,231.18,Monaco,10.0,0.889,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,9.0
BOT,2023,6,14.0,13.6,0.0,84.626,94.969,96.006,30.374,218.37,140.477,16.0,15.4,0.2,27.31,237.53,152.14,Monaco,15.0,1.26,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,11.0
ZHO,2023,6,14.667,14.6,0.2,84.827,95.052,95.975,25.782,260.658,166.109,13.333,15.4,0.2,27.31,237.53,152.14,Monaco,19.0,2.158,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,13.0
TSU,2023,6,10.333,10.6,0.0,85.226,94.659,95.628,33.609,319.487,200.998,13.667,14.2,0.2,28.91,240.26,153.43,Monaco,9.0,0.717,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,15.0
PER,2023,6,2.667,2.2,0.0,83.636,93.342,94.24,27.175,260.997,165.667,1.333,1.4,0.0,26.73,320.65,201.47,Monaco,20.0,2.485,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,16.0
HUL,2023,6,13.0,13.2,0.0,84.349,94.582,95.637,30.958,424.412,265.012,14.0,14.4,0.2,35.99,326.03,205.43,Monaco,18.0,1.914,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,17.0
SAR,2023,6,17.333,16.0,0.2,85.829,95.118,96.058,25.786,123.378,83.327,16.0,15.2,0.0,25.68,118.97,80.65,Monaco,16.0,1.748,19,2950.03,78.0,39.26,25.07,0.15,False,False,False,18.0
