Abbreviation,Year,RoundNumber,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag
VER,2023,1,Bahrain,1.0,0.0,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
PER,2023,1,Bahrain,2.0,0.138,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
ALO,2023,1,Bahrain,5.0,0.628,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
SAI,2023,1,Bahrain,4.0,0.446,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
HAM,2023,1,Bahrain,7.0,0.676,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
STR,2023,1,Bahrain,8.0,1.128,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
RUS,2023,1,Bahrain,6.0,0.632,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
BOT,2023,1,Bahrain,12.0,1.735,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
GAS,2023,1,Bahrain,20.0,2.473,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
ALB,2023,1,Bahrain,15.0,1.753,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
TSU,2023,1,Bahrain,14.0,2.802,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
SAR,2023,1,Bahrain,16.0,1.944,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
MAG,2023,1,Bahrain,17.0,2.184,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
DEV,2023,1,Bahrain,19.0,2.413,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
HUL,2023,1,Bahrain,10.0,1.101,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
ZHO,2023,1,Bahrain,13.0,1.765,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
NOR,2023,1,Bahrain,11.0,1.673,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
OCO,2023,1,Bahrain,9.0,1.276,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
LEC,2023,1,Bahrain,3.0,0.292,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
PIA,2023,1,Bahrain,18.0,2.393,15,4967.06,57.0,31.01,27.43,0.0,False,True,False
PER,2023,2,Saudi Arabian,1.0,0.0,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
VER,2023,2,Saudi Arabian,15.0,21.688,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
ALO,2023,2,Saudi Arabian,2.0,0.465,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
RUS,2023,2,Saudi Arabian,3.0,0.592,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
HAM,2023,2,Saudi Arabian,7.0,0.958,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
SAI,2023,2,Saudi Arabian,4.0,0.666,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
LEC,2023,2,Saudi Arabian,12.0,0.155,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
OCO,2023,2,Saudi Arabian,6.0,0.813,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
GAS,2023,2,Saudi Arabian,9.0,1.092,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
MAG,2023,2,Saudi Arabian,13.0,1.369,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
TSU,2023,2,Saudi Arabian,16.0,1.674,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
HUL,2023,2,Saudi Arabian,10.0,1.186,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
ZHO,2023,2,Saudi Arabian,11.0,1.196,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
DEV,2023,2,Saudi Arabian,18.0,1.979,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
PIA,2023,2,Saudi Arabian,8.0,0.978,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
SAR,2023,2,Saudi Arabian,20.0,40.245,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
NOR,2023,2,Saudi Arabian,19.0,2.182,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
BOT,2023,2,Saudi Arabian,14.0,1.403,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
ALB,2023,2,Saudi Arabian,17.0,1.729,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
STR,2023,2,Saudi Arabian,5.0,0.68,27,5472.64,50.0,31.79,26.09,0.0,True,False,False
VER,2023,3,Australian,1.0,0.0,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
HAM,2023,3,Australian,3.0,0.372,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
ALO,2023,3,Australian,4.0,0.407,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
STR,2023,3,Australian,6.0,0.576,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
PER,2023,3,Australian,20.0,2.378,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
NOR,2023,3,Australian,13.0,1.387,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
HUL,2023,3,Australian,10.0,1.003,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
PIA,2023,3,Australian,16.0,1.785,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
ZHO,2023,3,Australian,17.0,1.808,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
TSU,2023,3,Australian,12.0,1.367,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
BOT,2023,3,Australian,19.0,1.982,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
SAI,2023,3,Australian,5.0,0.538,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
GAS,2023,3,Australian,9.0,0.943,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
OCO,2023,3,Australian,11.0,1.036,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
DEV,2023,3,Australian,15.0,1.603,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
SAR,2023,3,Australian,18.0,1.825,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
MAG,2023,3,Australian,14.0,1.397,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
RUS,2023,3,Australian,2.0,0.236,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
ALB,2023,3,Australian,8.0,0.877,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
LEC,2023,3,Australian,7.0,0.637,14,4767.85,58.0,30.14,17.45,0.0,True,True,True
PER,2023,4,Azerbaijan,3.0,0.292,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
VER,2023,4,Azerbaijan,2.0,0.188,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
LEC,2023,4,Azerbaijan,1.0,0.0,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
ALO,2023,4,Azerbaijan,6.0,1.05,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
SAI,2023,4,Azerbaijan,4.0,0.813,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
HAM,2023,4,Azerbaijan,5.0,0.974,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
STR,2023,4,Azerbaijan,9.0,1.408,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
RUS,2023,4,Azerbaijan,11.0,1.451,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
NOR,2023,4,Azerbaijan,7.0,1.078,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
TSU,2023,4,Azerbaijan,8.0,1.378,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
PIA,2023,4,Azerbaijan,10.0,1.408,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
ALB,2023,4,Azerbaijan,12.0,1.615,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
MAG,2023,4,Azerbaijan,16.0,3.214,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
GAS,2023,4,Azerbaijan,17.0,4.65,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
OCO,2023,4,Azerbaijan,19.0,1.595,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
SAR,2023,4,Azerbaijan,14.0,2.192,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
HUL,2023,4,Azerbaijan,20.0,2.552,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
BOT,2023,4,Azerbaijan,13.0,2.056,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
ZHO,2023,4,Azerbaijan,15.0,2.439,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
DEV,2023,4,Azerbaijan,18.0,15.079,20,4950.24,51.0,41.21,24.86,0.0,True,False,False
VER,2023,5,Miami,9.0,-0.027,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
PER,2023,5,Miami,1.0,0.0,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
ALO,2023,5,Miami,2.0,0.361,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
RUS,2023,5,Miami,6.0,0.963,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
SAI,2023,5,Miami,3.0,0.508,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
HAM,2023,5,Miami,13.0,1.134,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
LEC,2023,5,Miami,7.0,1.02,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
GAS,2023,5,Miami,5.0,0.945,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
OCO,2023,5,Miami,8.0,1.094,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
MAG,2023,5,Miami,4.0,0.926,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
TSU,2023,5,Miami,17.0,1.588,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
STR,2023,5,Miami,18.0,1.635,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
BOT,2023,5,Miami,10.0,0.723,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
ALB,2023,5,Miami,11.0,0.954,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
HUL,2023,5,Miami,12.0,1.062,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
ZHO,2023,5,Miami,14.0,1.25,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
NOR,2023,5,Miami,16.0,1.553,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
DEV,2023,5,Miami,15.0,1.554,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
PIA,2023,5,Miami,19.0,1.643,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
SAR,2023,5,Miami,20.0,1.736,19,5162.32,57.0,36.69,27.12,0.0,False,False,False
VER,2023,6,Monaco,1.0,0.0,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
ALO,2023,6,Monaco,2.0,0.084,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
OCO,2023,6,Monaco,3.0,0.188,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
HAM,2023,6,Monaco,5.0,0.36,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
RUS,2023,6,Monaco,8.0,0.599,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
LEC,2023,6,Monaco,6.0,0.106,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
GAS,2023,6,Monaco,7.0,0.568,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
SAI,2023,6,Monaco,4.0,0.265,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
NOR,2023,6,Monaco,10.0,0.889,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
PIA,2023,6,Monaco,11.0,1.03,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
BOT,2023,6,Monaco,15.0,1.26,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
DEV,2023,6,Monaco,12.0,1.063,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
ZHO,2023,6,Monaco,19.0,2.158,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
ALB,2023,6,Monaco,13.0,1.162,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
