DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Bahrain,1,Race,True,,,,24.64,,
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Bahrain,1,Race,True,,,,24.64,,
14,ALO,Aston Martin,5.0,3.0,Finished,2023,Bahrain,1,Race,True,,,,25.17,,
55,SAI,Ferrari,4.0,4.0,Finished,2023,Bahrain,1,Race,True,,,,24.43,,
44,HAM,Mercedes,7.0,5.0,Finished,2023,Bahrain,1,Race,True,,,,25.18,,
18,STR,Aston Martin,8.0,6.0,Finished,2023,Bahrain,1,Race,True,,,,25.17,,
63,RUS,Mercedes,6.0,7.0,Finished,2023,Bahrain,1,Race,True,,,,25.18,,
77,BOT,Alfa Romeo,12.0,8.0,Finished,2023,Bahrain,1,Race,True,,,,26.45,,
10,GAS,Alpine,20.0,9.0,Finished,2023,Bahrain,1,Race,True,,,,31.09,,
23,ALB,Williams,15.0,10.0,Finished,2023,Bahrain,1,Race,True,,,,25.12,,
22,TSU,AlphaTauri,14.0,11.0,Finished,2023,Bahrain,1,Race,True,,,,25.12,,
2,SAR,Williams,16.0,12.0,Lapped,2023,Bahrain,1,Race,True,,,,25.12,,
20,MAG,Haas F1 Team,17.0,13.0,Lapped,2023,Bahrain,1,Race,True,,,,27.81,,
21,DEV,AlphaTauri,19.0,14.0,Lapped,2023,Bahrain,1,Race,True,,,,25.12,,
27,HUL,Haas F1 Team,10.0,15.0,Lapped,2023,Bahrain,1,Race,True,,,,27.81,,
24,ZHO,Alfa Romeo,13.0,16.0,Lapped,2023,Bahrain,1,Race,True,,,,26.45,,
4,NOR,McLaren,11.0,17.0,Lapped,2023,Bahrain,1,Race,True,,,,32.61,,
