DriverNumber,Abbreviation,TeamName,Q1,Q2,Q3,Position,Year,Event,RoundNumber,SessionType
1,VER,Red Bull Racing,91.295,90.503,89.708,1.0,2023,Bahrain,1,Qualifying
11,PER,Red Bull Racing,91.479,90.746,89.846,2.0,2023,Bahrain,1,Qualifying
16,LEC,Ferrari,91.094,90.282,90.0,3.0,2023,Bahrain,1,Qualifying
55,SAI,Ferrari,90.993,90.515,90.154,4.0,2023,Bahrain,1,Qualifying
14,ALO,Aston Martin,91.158,90.645,90.336,5.0,2023,Bahrain,1,Qualifying
63,RUS,Mercedes,91.057,90.507,90.34,6.0,2023,Bahrain,1,Qualifying
44,HAM,Mercedes,91.543,90.513,90.384,7.0,2023,Bahrain,1,Qualifying
18,STR,Aston Martin,91.184,91.127,90.836,8.0,2023,Bahrain,1,Qualifying
31,OCO,Alpine,91.508,90.914,90.984,9.0,2023,Bahrain,1,Qualifying
27,HUL,Haas F1 Team,91.204,90.809,,10.0,2023,Bahrain,1,Qualifying
4,NOR,McLaren,91.652,91.381,,11.0,2023,Bahrain,1,Qualifying
77,BOT,Alfa Romeo,91.504,91.443,,12.0,2023,Bahrain,1,Qualifying
24,ZHO,Alfa Romeo,91.615,91.473,,13.0,2023,Bahrain,1,Qualifying
22,TSU,AlphaTauri,91.4,92.51,,14.0,2023,Bahrain,1,Qualifying
23,ALB,Williams,91.461,,,15.0,2023,Bahrain,1,Qualifying
2,SAR,Williams,91.652,,,16.0,2023,Bahrain,1,Qualifying
20,MAG,Haas F1 Team,91.892,,,17.0,2023,Bahrain,1,Qualifying
81,PIA,McLaren,92.101,,,18.0,2023,Bahrain,1,Qualifying
21,DEV,AlphaTauri,92.121,,,19.0,2023,Bahrain,1,Qualifying
10,GAS,Alpine,92.181,,,20.0,2023,Bahrain,1,Qualifying
11,PER,Red Bull Racing,89.244,88.635,88.265,1.0,2023,Saudi Arabian,2,Qualifying
16,LEC,Ferrari,89.376,88.903,88.42,2.0,2023,Saudi Arabian,2,Qualifying
14,ALO,Aston Martin,89.298,88.757,88.73,3.0,2023,Saudi Arabian,2,Qualifying
63,RUS,Mercedes,89.592,89.132,88.857,4.0,2023,Saudi Arabian,2,Qualifying
55,SAI,Ferrari,89.411,88.957,88.931,5.0,2023,Saudi Arabian,2,Qualifying
18,STR,Aston Martin,89.335,88.962,88.945,6.0,2023,Saudi Arabian,2,Qualifying
31,OCO,Alpine,89.707,89.255,89.078,7.0,2023,Saudi Arabian,2,Qualifying
44,HAM,Mercedes,89.689,89.374,89.223,8.0,2023,Saudi Arabian,2,Qualifying
81,PIA,McLaren,89.706,89.378,89.243,9.0,2023,Saudi Arabian,2,Qualifying
10,GAS,Alpine,89.89,89.411,89.357,10.0,2023,Saudi Arabian,2,Qualifying
27,HUL,Haas F1 Team,89.547,89.451,,11.0,2023,Saudi Arabian,2,Qualifying
24,ZHO,Alfa Romeo,89.654,89.461,,12.0,2023,Saudi Arabian,2,Qualifying
20,MAG,Haas F1 Team,89.744,89.634,,13.0,2023,Saudi Arabian,2,Qualifying
77,BOT,Alfa Romeo,89.929,89.668,,14.0,2023,Saudi Arabian,2,Qualifying
1,VER,Red Bull Racing,88.761,109.953,,15.0,2023,Saudi Arabian,2,Qualifying
22,TSU,AlphaTauri,89.939,,,16.0,2023,Saudi Arabian,2,Qualifying
23,ALB,Williams,89.994,,,17.0,2023,Saudi Arabian,2,Qualifying
21,DEV,AlphaTauri,90.244,,,18.0,2023,Saudi Arabian,2,Qualifying
4,NOR,McLaren,90.447,,,19.0,2023,Saudi Arabian,2,Qualifying
2,SAR,Williams,128.51,,,20.0,2023,Saudi Arabian,2,Qualifying
1,VER,Red Bull Racing,77.384,77.056,76.732,1.0,2023,Australian,3,Qualifying
63,RUS,Mercedes,77.654,77.513,76.968,2.0,2023,Australian,3,Qualifying
44,HAM,Mercedes,77.689,77.551,77.104,3.0,2023,Australian,3,Qualifying
14,ALO,Aston Martin,77.832,77.283,77.139,4.0,2023,Australian,3,Qualifying
55,SAI,Ferrari,77.928,77.349,77.27,5.0,2023,Australian,3,Qualifying
18,STR,Aston Martin,77.873,77.616,77.308,6.0,2023,Australian,3,Qualifying
16,LEC,Ferrari,78.218,77.39,77.369,7.0,2023,Australian,3,Qualifying
23,ALB,Williams,77.962,77.761,77.609,8.0,2023,Australian,3,Qualifying
10,GAS,Alpine,78.312,77.574,77.675,9.0,2023,Australian,3,Qualifying
27,HUL,Haas F1 Team,78.029,77.412,77.735,10.0,2023,Australian,3,Qualifying
31,OCO,Alpine,77.77,77.768,,11.0,2023,Australian,3,Qualifying
22,TSU,AlphaTauri,78.471,78.099,,12.0,2023,Australian,3,Qualifying
4,NOR,McLaren,78.243,78.119,,13.0,2023,Australian,3,Qualifying
20,MAG,Haas F1 Team,78.159,78.129,,14.0,2023,Australian,3,Qualifying
21,DEV,AlphaTauri,78.45,78.335,,15.0,2023,Australian,3,Qualifying
81,PIA,McLaren,78.517,,,16.0,2023,Australian,3,Qualifying
24,ZHO,Alfa Romeo,78.54,,,17.0,2023,Australian,3,Qualifying
2,SAR,Williams,78.557,,,18.0,2023,Australian,3,Qualifying
77,BOT,Alfa Romeo,78.714,,,19.0,2023,Australian,3,Qualifying
11,PER,Red Bull Racing,,,,20.0,2023,Australian,3,Qualifying
16,LEC,Ferrari,101.269,101.037,100.203,1.0,2023,Azerbaijan,4,Qualifying
1,VER,Red Bull Racing,101.398,100.822,100.391,2.0,2023,Azerbaijan,4,Qualifying
11,PER,Red Bull Racing,101.756,101.131,100.495,3.0,2023,Azerbaijan,4,Qualifying
55,SAI,Ferrari,102.197,101.369,101.016,4.0,2023,Azerbaijan,4,Qualifying
44,HAM,Mercedes,102.113,101.65,101.177,5.0,2023,Azerbaijan,4,Qualifying
14,ALO,Aston Martin,101.72,101.37,101.253,6.0,2023,Azerbaijan,4,Qualifying
4,NOR,McLaren,102.154,101.485,101.281,7.0,2023,Azerbaijan,4,Qualifying
22,TSU,AlphaTauri,102.234,101.569,101.581,8.0,2023,Azerbaijan,4,Qualifying
18,STR,Aston Martin,102.524,101.576,101.611,9.0,2023,Azerbaijan,4,Qualifying
81,PIA,McLaren,102.455,101.636,101.611,10.0,2023,Azerbaijan,4,Qualifying
63,RUS,Mercedes,102.073,101.654,,11.0,2023,Azerbaijan,4,Qualifying
31,OCO,Alpine,102.622,101.798,,12.0,2023,Azerbaijan,4,Qualifying
23,ALB,Williams,102.171,101.818,,13.0,2023,Azerbaijan,4,Qualifying
77,BOT,Alfa Romeo,102.582,102.259,,14.0,2023,Azerbaijan,4,Qualifying
2,SAR,Williams,102.242,102.395,,15.0,2023,Azerbaijan,4,Qualifying
24,ZHO,Alfa Romeo,102.642,,,16.0,2023,Azerbaijan,4,Qualifying
27,HUL,Haas F1 Team,102.755,,,17.0,2023,Azerbaijan,4,Qualifying
20,MAG,Haas F1 Team,103.417,,,18.0,2023,Azerbaijan,4,Qualifying
10,GAS,Alpine,104.853,,,19.0,2023,Azerbaijan,4,Qualifying
21,DEV,AlphaTauri,115.282,,,20.0,2023,Azerbaijan,4,Qualifying
11,PER,Red Bull Racing,87.713,87.328,86.841,1.0,2023,Miami,5,Qualifying
14,ALO,Aston Martin,88.179,87.097,87.202,2.0,2023,Miami,5,Qualifying
55,SAI,Ferrari,87.686,87.148,87.349,3.0,2023,Miami,5,Qualifying
20,MAG,Haas F1 Team,87.809,87.673,87.767,4.0,2023,Miami,5,Qualifying
10,GAS,Alpine,88.061,87.612,87.786,5.0,2023,Miami,5,Qualifying
63,RUS,Mercedes,88.086,87.743,87.804,6.0,2023,Miami,5,Qualifying
16,LEC,Ferrari,87.713,86.964,87.861,7.0,2023,Miami,5,Qualifying
31,OCO,Alpine,87.872,87.444,87.935,8.0,2023,Miami,5,Qualifying
1,VER,Red Bull Racing,87.363,86.814,,9.0,2023,Miami,5,Qualifying
77,BOT,Alfa Romeo,87.864,87.564,,10.0,2023,Miami,5,Qualifying
23,ALB,Williams,88.234,87.795,,11.0,2023,Miami,5,Qualifying
27,HUL,Haas F1 Team,87.945,87.903,,12.0,2023,Miami,5,Qualifying
44,HAM,Mercedes,87.846,87.975,,13.0,2023,Miami,5,Qualifying
24,ZHO,Alfa Romeo,88.18,88.091,,14.0,2023,Miami,5,Qualifying
21,DEV,AlphaTauri,88.325,88.395,,15.0,2023,Miami,5,Qualifying
4,NOR,McLaren,88.394,,,16.0,2023,Miami,5,Qualifying
22,TSU,AlphaTauri,88.429,,,17.0,2023,Miami,5,Qualifying
18,STR,Aston Martin,88.476,,,18.0,2023,Miami,5,Qualifying
81,PIA,McLaren,88.484,,,19.0,2023,Miami,5,Qualifying
2,SAR,Williams,88.577,,,20.0,2023,Miami,5,Qualifying
1,VER,Red Bull Racing,72.386,71.908,71.365,1.0,2023,Monaco,6,Qualifying
14,ALO,Aston Martin,72.886,72.107,71.449,2.0,2023,Monaco,6,Qualifying
16,LEC,Ferrari,72.912,72.103,71.471,3.0,2023,Monaco,6,Qualifying
31,OCO,Alpine,72.967,72.248,71.553,4.0,2023,Monaco,6,Qualifying
55,SAI,Ferrari,72.717,72.21,71.63,5.0,2023,Monaco,6,Qualifying
44,HAM,Mercedes,72.872,72.156,71.725,6.0,2023,Monaco,6,Qualifying
10,GAS,Alpine,73.033,72.169,71.933,7.0,2023,Monaco,6,Qualifying
63,RUS,Mercedes,72.769,72.151,71.964,8.0,2023,Monaco,6,Qualifying
22,TSU,AlphaTauri,72.642,72.249,72.082,9.0,2023,Monaco,6,Qualifying
4,NOR,McLaren,72.877,72.377,72.254,10.0,2023,Monaco,6,Qualifying
81,PIA,McLaren,73.006,72.395,,11.0,2023,Monaco,6,Qualifying
21,DEV,AlphaTauri,73.054,72.428,,12.0,2023,Monaco,6,Qualifying
23,ALB,Williams,72.706,72.527,,13.0,2023,Monaco,6,Qualifying
18,STR,Aston Martin,72.722,72.623,,14.0,2023,Monaco,6,Qualifying
77,BOT,Alfa Romeo,73.038,72.625,,15.0,2023,Monaco,6,Qualifying
2,SAR,Williams,73.113,,,16.0,2023,Monaco,6,Qualifying
20,MAG,Haas F1 Team,73.27,,,17.0,2023,Monaco,6,Qualifying
27,HUL,Haas F1 Team,73.279,,,18.0,2023,Monaco,6,Qualifying
24,ZHO,Alfa Romeo,73.523,,,19.0,2023,Monaco,6,Qualifying
11,PER,Red Bull Racing,73.85,,,20.0,2023,Monaco,6,Qualifying
1,VER,Red Bull Racing,73.615,72.76,72.272,1.0,2023,Spanish,7,Qualifying
55,SAI,Ferrari,73.411,72.79,72.734,2.0,2023,Spanish,7,Qualifying
4,NOR,McLaren,73.295,72.776,72.792,3.0,2023,Spanish,7,Qualifying
10,GAS,Alpine,73.471,73.186,72.816,4.0,2023,Spanish,7,Qualifying
44,HAM,Mercedes,72.937,72.999,72.818,5.0,2023,Spanish,7,Qualifying
18,STR,Aston Martin,73.766,73.082,72.994,6.0,2023,Spanish,7,Qualifying
31,OCO,Alpine,73.433,73.001,73.083,7.0,2023,Spanish,7,Qualifying
27,HUL,Haas F1 Team,73.42,73.283,73.229,8.0,2023,Spanish,7,Qualifying
14,ALO,Aston Martin,73.747,73.098,73.507,9.0,2023,Spanish,7,Qualifying
81,PIA,McLaren,73.691,73.059,73.682,10.0,2023,Spanish,7,Qualifying
11,PER,Red Bull Racing,73.874,73.334,,11.0,2023,Spanish,7,Qualifying
63,RUS,Mercedes,73.326,73.447,,12.0,2023,Spanish,7,Qualifying
24,ZHO,Alfa Romeo,73.677,73.521,,13.0,2023,Spanish,7,Qualifying
21,DEV,AlphaTauri,73.581,74.083,,14.0,2023,Spanish,7,Qualifying
22,TSU,AlphaTauri,73.862,74.477,,15.0,2023,Spanish,7,Qualifying
77,BOT,Alfa Romeo,73.977,,,16.0,2023,Spanish,7,Qualifying
20,MAG,Haas F1 Team,74.042,,,17.0,2023,Spanish,7,Qualifying
23,ALB,Williams,74.063,,,18.0,2023,Spanish,7,Qualifying
16,LEC,Ferrari,74.079,,,19.0,2023,Spanish,7,Qualifying
2,SAR,Williams,74.699,,,20.0,2023,Spanish,7,Qualifying
1,VER,Red Bull Racing,80.851,79.092,85.858,1.0,2023,Canadian,8,Qualifying
27,HUL,Haas F1 Team,82.73,80.305,87.102,2.0,2023,Canadian,8,Qualifying
14,ALO,Aston Martin,81.481,79.776,87.286,3.0,2023,Canadian,8,Qualifying
44,HAM,Mercedes,81.554,80.426,87.627,4.0,2023,Canadian,8,Qualifying
63,RUS,Mercedes,81.798,80.098,87.893,5.0,2023,Canadian,8,Qualifying
31,OCO,Alpine,82.114,80.406,87.945,6.0,2023,Canadian,8,Qualifying
4,NOR,McLaren,81.998,79.347,88.046,7.0,2023,Canadian,8,Qualifying
