DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Bahrain,1,Race,True
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Bahrain,1,Race,True
14,ALO,Aston Martin,5.0,3.0,Finished,2023,Bahrain,1,Race,True
55,SAI,Ferrari,4.0,4.0,Finished,2023,Bahrain,1,Race,True
44,HAM,Mercedes,7.0,5.0,Finished,2023,Bahrain,1,Race,True
18,STR,Aston Martin,8.0,6.0,Finished,2023,Bahrain,1,Race,True
63,RUS,Mercedes,6.0,7.0,Finished,2023,Bahrain,1,Race,True
77,BOT,Alfa Romeo,12.0,8.0,Finished,2023,Bahrain,1,Race,True
10,GAS,Alpine,20.0,9.0,Finished,2023,Bahrain,1,Race,True
23,ALB,Williams,15.0,10.0,Finished,2023,Bahrain,1,Race,True
22,TSU,AlphaTauri,14.0,11.0,Finished,2023,Bahrain,1,Race,True
2,SAR,Williams,16.0,12.0,Lapped,2023,Bahrain,1,Race,True
20,MAG,Haas F1 Team,17.0,13.0,Lapped,2023,Bahrain,1,Race,True
21,DEV,AlphaTauri,19.0,14.0,Lapped,2023,Bahrain,1,Race,True
27,HUL,Haas F1 Team,10.0,15.0,Lapped,2023,Bahrain,1,Race,True
24,ZHO,Alfa Romeo,13.0,16.0,Lapped,2023,Bahrain,1,Race,True
4,NOR,McLaren,11.0,17.0,Lapped,2023,Bahrain,1,Race,True
31,OCO,Alpine,9.0,18.0,Retired,2023,Bahrain,1,Race,False
16,LEC,Ferrari,3.0,19.0,Retired,2023,Bahrain,1,Race,False
81,PIA,McLaren,18.0,20.0,Retired,2023,Bahrain,1,Race,False
11,PER,Red Bull Racing,1.0,1.0,Finished,2023,Saudi Arabian,2,Race,True
1,VER,Red Bull Racing,15.0,2.0,Finished,2023,Saudi Arabian,2,Race,True
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Saudi Arabian,2,Race,True
63,RUS,Mercedes,3.0,4.0,Finished,2023,Saudi Arabian,2,Race,True
44,HAM,Mercedes,7.0,5.0,Finished,2023,Saudi Arabian,2,Race,True
55,SAI,Ferrari,4.0,6.0,Finished,2023,Saudi Arabian,2,Race,True
16,LEC,Ferrari,12.0,7.0,Finished,2023,Saudi Arabian,2,Race,True
31,OCO,Alpine,6.0,8.0,Finished,2023,Saudi Arabian,2,Race,True
10,GAS,Alpine,9.0,9.0,Finished,2023,Saudi Arabian,2,Race,True
20,MAG,Haas F1 Team,13.0,10.0,Finished,2023,Saudi Arabian,2,Race,True
22,TSU,AlphaTauri,16.0,11.0,Finished,2023,Saudi Arabian,2,Race,True
27,HUL,Haas F1 Team,10.0,12.0,Finished,2023,Saudi Arabian,2,Race,True
24,ZHO,Alfa Romeo,11.0,13.0,Finished,2023,Saudi Arabian,2,Race,True
21,DEV,AlphaTauri,18.0,14.0,Finished,2023,Saudi Arabian,2,Race,True
81,PIA,McLaren,8.0,15.0,Finished,2023,Saudi Arabian,2,Race,True
2,SAR,Williams,20.0,16.0,Finished,2023,Saudi Arabian,2,Race,True
4,NOR,McLaren,19.0,17.0,Finished,2023,Saudi Arabian,2,Race,True
77,BOT,Alfa Romeo,14.0,18.0,Lapped,2023,Saudi Arabian,2,Race,True
23,ALB,Williams,17.0,19.0,Retired,2023,Saudi Arabian,2,Race,False
18,STR,Aston Martin,5.0,20.0,Retired,2023,Saudi Arabian,2,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Australian,3,Race,True
44,HAM,Mercedes,3.0,2.0,Finished,2023,Australian,3,Race,True
14,ALO,Aston Martin,4.0,3.0,Finished,2023,Australian,3,Race,True
18,STR,Aston Martin,6.0,4.0,Finished,2023,Australian,3,Race,True
11,PER,Red Bull Racing,20.0,5.0,Finished,2023,Australian,3,Race,True
4,NOR,McLaren,13.0,6.0,Finished,2023,Australian,3,Race,True
27,HUL,Haas F1 Team,10.0,7.0,Finished,2023,Australian,3,Race,True
81,PIA,McLaren,16.0,8.0,Finished,2023,Australian,3,Race,True
24,ZHO,Alfa Romeo,17.0,9.0,Finished,2023,Australian,3,Race,True
22,TSU,AlphaTauri,12.0,10.0,Finished,2023,Australian,3,Race,True
77,BOT,Alfa Romeo,19.0,11.0,Finished,2023,Australian,3,Race,True
55,SAI,Ferrari,5.0,12.0,Finished,2023,Australian,3,Race,True
10,GAS,Alpine,9.0,13.0,Retired,2023,Australian,3,Race,False
31,OCO,Alpine,11.0,14.0,Retired,2023,Australian,3,Race,False
21,DEV,AlphaTauri,15.0,15.0,Retired,2023,Australian,3,Race,False
2,SAR,Williams,18.0,16.0,Retired,2023,Australian,3,Race,False
20,MAG,Haas F1 Team,14.0,17.0,Retired,2023,Australian,3,Race,False
63,RUS,Mercedes,2.0,18.0,Retired,2023,Australian,3,Race,False
23,ALB,Williams,8.0,19.0,Retired,2023,Australian,3,Race,False
16,LEC,Ferrari,7.0,20.0,Retired,2023,Australian,3,Race,False
11,PER,Red Bull Racing,3.0,1.0,Finished,2023,Azerbaijan,4,Race,True
